iter	RMSE
0	14.40753342
1	13.53541963
2	12.66985808
3	11.94507352
4	11.23729388
5	10.65726688
6	10.14297486
7	9.685940022
8	9.30835997
9	8.889911499
10	8.496326995
11	8.179632549
12	7.901920327
13	7.626037717
14	7.394911607
15	7.1643843
16	6.98770243
17	6.804613731
18	6.636602453
19	6.500260113
20	6.396457094
21	6.29939121
22	6.195542571
23	6.111199355
24	6.011905516
25	5.960282238
26	5.884266273
27	5.818002153
28	5.767019367
29	5.713773387
30	5.659864235
31	5.609192347
32	5.568965408
33	5.531975595
34	5.490019195
35	5.447546543
36	5.417192784
37	5.389979525
38	5.366135845
39	5.339591824
40	5.317114883
41	5.300274497
42	5.278369505
43	5.26749856
44	5.252782148
45	5.233127515
46	5.209180952
47	5.196245168
48	5.180269707
49	5.16496699
50	5.151276712
51	5.141798065
52	5.138176188
53	5.116063667
54	5.099453988
55	5.084772748
56	5.072658137
57	5.061336435
58	5.048888983
59	5.047912988
60	5.030085798
61	5.016915769
62	5.002228124
63	4.999359566
64	4.990900973
65	4.981363498
66	4.969184359
67	4.962080259
68	4.954578408
69	4.953635466
70	4.94700706
71	4.934234393
72	4.923325978
73	4.915490473
74	4.906619615
75	4.897072193
76	4.887999553
77	4.880622046
78	4.869479254
79	4.863993198
80	4.854096258
81	4.846304523
82	4.841850566
83	4.830346882
84	4.815287096
85	4.806396904
86	4.800231688
87	4.795674588
88	4.790474698
89	4.788225436
90	4.780565853
91	4.766498965
92	4.756326843
93	4.749678133
94	4.748249308
95	4.742671648
96	4.734207521
97	4.725947646
98	4.722855167
99	4.719540773
100	4.709020093
101	4.70772068
102	4.692745936
103	4.692247842
104	4.679496327
105	4.678282019
106	4.677189209
107	4.67675634
108	4.668605624
109	4.665119149
110	4.664494387
111	4.655519629
112	4.645589727
113	4.644874037
114	4.634758769
115	4.632730624
116	4.625548272
117	4.620262019
118	4.607896456
119	4.606977154
120	4.593858285
121	4.590766674
122	4.582427882
123	4.575989068
124	4.57515294
125	4.56686381
126	4.559944093
127	4.559016224
128	4.554669603
129	4.552664896
130	4.540476342
131	4.528818647
132	4.528159756
133	4.520431897
134	4.510747751
135	4.505341142
136	4.495137276
137	4.480981807
138	4.478438854
139	4.465435597
140	4.459204839
141	4.457704129
142	4.447548699
143	4.447183555
144	4.4469176
145	4.446289714
146	4.437349435
147	4.428189863
148	4.41895961
149	4.413887692
150	4.413666027
151	4.405790613
152	4.39331783
153	4.382656706
154	4.372849245
155	4.365984035
156	4.354388776
157	4.34482946
158	4.337305366
159	4.327809457
160	4.316137112
161	4.307045309
162	4.30671331
163	4.302503157
164	4.293136748
165	4.292678003
166	4.283756123
167	4.272108005
168	4.268822814
169	4.260052698
170	4.253412001
171	4.245267232
172	4.239134242
173	4.233004437
174	4.223597037
175	4.218243057
176	4.217699916
177	4.202772091
178	4.202470759
179	4.198926545
180	4.18694275
181	4.180853403
182	4.177672434
183	4.177039143
184	4.175328845
185	4.174850781
186	4.169527701
187	4.164351069
188	4.16177896
189	4.160018648
190	4.155023023
191	4.154575524
192	4.148780612
193	4.144380521
194	4.13574674
195	4.128861902
196	4.124745338
197	4.115464622
198	4.108659348
199	4.103386213
