iter	Passed	Remaining
0	134	26687
1	135	13390
2	136	8947
3	137	6737
4	138	5405
5	139	4516
6	140	3878
7	141	3401
8	142	3033
9	143	2733
10	144	2489
11	146	2289
12	147	2118
13	148	1971
14	149	1844
15	150	1733
16	151	1634
17	152	1545
18	154	1467
19	155	1397
20	157	1343
21	161	1309
22	164	1268
23	166	1220
24	188	1318
25	190	1276
26	193	1238
27	198	1217
28	199	1179
29	202	1148
30	205	1120
31	208	1096
32	213	1078
33	214	1047
34	215	1018
35	217	989
36	218	963
37	219	937
38	220	912
39	222	889
40	225	873
41	226	853
42	228	835
43	233	829
44	239	825
45	242	811
46	246	801
47	256	813
48	258	797
49	266	798
50	270	790
51	272	775
52	273	759
53	275	744
54	276	729
55	280	721
56	282	709
57	286	701
58	287	688
59	288	673
60	291	664
61	293	652
62	294	640
63	295	627
64	298	620
65	301	611
66	305	605
67	307	596
68	310	588
69	310	577
70	312	567
71	313	557
72	315	548
73	316	539
74	318	530
75	324	529
76	326	521
77	328	513
78	329	505
79	331	497
80	337	495
81	339	488
82	342	482
83	343	475
84	346	468
85	347	461
86	354	460
87	355	452
88	357	445
89	358	438
90	361	432
91	363	426
92	364	419
93	366	412
94	367	406
95	369	399
96	371	393
97	373	389
98	378	385
99	381	381
100	383	375
101	387	372
102	389	366
103	391	361
104	394	356
105	402	356
106	417	362
107	498	424
108	504	420
109	505	413
110	508	407
111	513	403
112	516	397
113	519	391
114	530	392
115	559	405
116	564	400
117	566	393
118	578	393
119	584	389
120	616	402
121	622	397
122	625	391
123	628	385
124	632	379
125	636	373
126	655	376
127	666	374
128	750	412
129	757	407
130	759	400
131	764	393
132	767	386
133	772	380
134	783	377
135	787	370
136	792	364
137	797	358
138	802	352
139	815	349
140	821	343
141	824	336
142	829	330
143	835	325
144	849	322
145	852	315
146	855	308
147	858	301
148	862	295
149	866	288
150	872	282
151	879	277
152	882	271
153	884	264
154	889	258
155	893	252
156	895	245
157	897	238
158	905	233
159	909	227
160	913	221
161	922	216
162	925	210
163	928	203
164	933	198
165	939	192
166	944	186
167	950	180
168	952	174
169	955	168
170	957	162
171	959	156
172	966	150
173	968	144
174	970	138
175	973	132
176	978	127
177	983	121
178	985	115
179	1024	113
180	1029	108
181	1072	106
182	1075	99
183	1077	93
184	1080	87
185	1082	81
186	1085	75
187	1088	69
188	1091	63
189	1093	57
190	1096	51
191	1112	46
192	1116	40
193	1122	34
194	1124	28
195	1126	22
196	1128	17
197	1130	11
198	1133	5
199	1135	0
