iter	Passed	Remaining
0	132	132835
1	134	67241
2	136	45299
3	139	34621
4	141	28153
5	144	23973
6	147	20903
7	151	18815
8	154	17035
9	157	15578
10	159	14308
11	161	13271
12	163	12389
13	166	11695
14	168	11067
15	170	10497
16	172	9987
17	174	9522
18	178	9196
19	180	8850
20	182	8518
21	184	8215
22	186	7934
23	188	7674
24	191	7466
25	193	7259
26	195	7058
27	197	6869
28	199	6695
29	201	6529
30	205	6416
31	207	6274
32	208	6123
33	210	5976
34	211	5843
35	213	5713
36	214	5588
37	216	5473
38	218	5375
39	219	5275
40	221	5175
41	222	5075
42	223	4984
43	225	4899
44	227	4820
45	228	4741
46	230	4679
47	232	4612
48	234	4546
49	236	4491
50	238	4436
51	239	4374
52	241	4313
53	244	4279
54	246	4227
55	247	4177
56	249	4135
57	251	4086
58	253	4045
59	255	4002
60	256	3954
61	258	3905
62	261	3891
63	263	3852
64	264	3809
65	266	3767
66	267	3727
67	269	3688
68	270	3648
69	272	3616
70	275	3605
71	277	3573
72	278	3539
73	280	3507
74	281	3476
75	283	3445
76	284	3413
77	286	3381
78	287	3351
79	289	3327
80	290	3300
81	292	3277
82	293	3243
83	295	3218
84	296	3192
85	297	3166
86	299	3141
87	300	3116
88	302	3099
89	304	3077
90	306	3058
91	307	3038
92	309	3016
93	310	2994
94	312	2973
95	313	2953
96	316	2947
97	318	2931
98	320	2916
99	321	2896
100	323	2876
101	324	2859
102	326	2842
103	327	2824
104	329	2808
105	331	2795
106	333	2783
107	335	2768
108	337	2755
109	338	2739
110	340	2726
111	342	2711
112	344	2705
113	347	2704
114	351	2701
115	353	2692
116	354	2676
117	357	2670
118	359	2659
119	360	2646
120	362	2633
121	364	2621
122	366	2611
123	368	2603
124	373	2613
125	376	2608
126	381	2622
127	389	2652
128	391	2645
129	393	2636
130	395	2625
131	397	2612
132	400	2608
133	402	2603
134	405	2600
135	408	2594
136	410	2587
137	421	2630
138	433	2686
139	437	2690
140	441	2686
141	444	2686
142	455	2728
143	476	2830
144	519	3065
145	525	3071
146	528	3068
147	534	3076
148	538	3073
149	541	3068
150	545	3066
151	550	3068
152	552	3060
153	555	3050
154	557	3040
155	560	3031
156	563	3024
157	565	3013
158	568	3005
159	570	2996
160	572	2984
161	574	2972
162	576	2960
163	579	2952
164	581	2943
165	583	2933
166	585	2922
167	588	2913
168	590	2903
169	592	2895
170	597	2894
171	600	2889
172	604	2888
173	606	2881
174	611	2881
175	616	2884
176	618	2875
177	623	2878
178	632	2903
179	641	2924
180	644	2914
181	646	2903
182	648	2894
183	651	2888
184	653	2878
185	655	2869
186	657	2858
187	659	2846
188	660	2835
189	662	2823
190	664	2814
191	667	2807
192	669	2798
193	671	2790
194	673	2781
195	675	2770
196	677	2763
197	680	2756
198	682	2747
199	684	2736
200	685	2726
201	687	2716
202	689	2706
203	691	2700
204	694	2695
205	696	2686
206	698	2675
207	700	2665
208	701	2654
209	702	2644
210	704	2636
211	706	2627
212	708	2619
213	710	2610
214	712	2601
215	714	2592
216	715	2582
217	722	2590
218	724	2584
219	726	2576
220	728	2568
221	730	2559
222	735	2563
223	737	2556
224	739	2548
225	741	2539
226	743	2530
227	744	2522
228	747	2517
229	750	2511
230	751	2502
231	753	2493
232	754	2483
233	755	2474
234	758	2470
235	762	2468
236	764	2460
237	765	2451
238	767	2442
239	768	2433
240	769	2424
241	771	2416
242	772	2407
243	774	2400
244	776	2393
245	778	2386
246	780	2379
247	781	2370
248	783	2362
249	784	2354
250	786	2346
251	789	2342
252	791	2337
253	792	2329
254	794	2320
255	795	2312
256	797	2305
257	799	2298
258	800	2290
259	804	2289
260	806	2283
261	807	2275
262	809	2268
263	810	2260
264	812	2252
265	813	2244
266	815	2239
267	818	2234
268	819	2226
269	821	2219
270	823	2215
271	824	2207
272	826	2200
273	827	2192
274	830	2189
275	832	2183
276	834	2177
277	835	2170
278	837	2163
279	838	2156
280	840	2149
281	841	2142
282	843	2136
283	845	2130
284	847	2125
285	848	2118
286	850	2111
287	851	2105
288	853	2098
289	854	2092
290	855	2085
291	858	2080
292	860	2075
293	861	2069
294	863	2063
295	864	2056
296	866	2050
297	867	2043
298	868	2037
299	870	2031
300	873	2027
301	874	2021
302	876	2015
303	877	2009
304	878	2002
305	880	1996
306	881	1990
307	882	1983
308	884	1977
309	886	1972
310	887	1967
311	889	1961
312	891	1957
313	893	1952
314	895	1947
315	897	1943
316	900	1939
317	902	1936
318	904	1931
319	906	1927
320	909	1924
321	911	1919
322	913	1915
323	916	1911
324	918	1907
325	919	1901
326	921	1896
327	923	1892
328	925	1887
329	927	1882
330	929	1878
331	931	1875
332	933	1870
333	936	1867
334	938	1863
335	942	1862
336	944	1858
337	946	1853
338	948	1849
339	950	1844
340	952	1840
341	953	1835
342	955	1831
343	958	1827
344	960	1824
345	962	1819
346	964	1814
347	967	1812
348	972	1813
349	976	1812
350	980	1812
351	987	1818
352	991	1817
353	994	1815
354	1001	1820
355	1011	1829
356	1015	1828
357	1020	1830
358	1023	1828
359	1028	1827
360	1031	1825
361	1041	1835
362	1045	1835
363	1049	1834
364	1052	1831
365	1055	1827
366	1057	1823
367	1061	1822
368	1065	1821
369	1067	1818
370	1073	1820
371	1078	1820
372	1080	1816
373	1083	1813
374	1086	1810
375	1092	1813
376	1095	1810
377	1099	1809
378	1102	1806
379	1106	1805
380	1112	1808
381	1120	1812
382	1125	1813
383	1128	1809
384	1135	1813
385	1139	1812
386	1142	1809
387	1145	1807
388	1149	1805
389	1154	1805
390	1157	1802
391	1160	1800
392	1164	1798
393	1167	1795
394	1170	1793
395	1173	1789
396	1176	1786
397	1179	1783
398	1181	1779
399	1183	1775
400	1185	1770
401	1187	1766
402	1190	1763
403	1192	1759
404	1195	1756
405	1197	1751
406	1199	1747
407	1201	1744
408	1204	1739
409	1206	1736
410	1208	1732
411	1210	1727
412	1212	1723
413	1214	1719
414	1216	1715
415	1218	1710
416	1220	1706
417	1222	1701
418	1223	1696
419	1225	1692
420	1227	1687
421	1229	1683
422	1230	1679
423	1233	1675
424	1235	1671
425	1237	1667
426	1239	1663
427	1241	1658
428	1243	1654
429	1245	1650
430	1247	1647
431	1249	1643
432	1251	1638
433	1252	1634
434	1254	1629
435	1256	1624
436	1258	1621
437	1260	1617
438	1262	1613
439	1265	1610
440	1268	1607
441	1274	1608
442	1278	1607
443	1280	1603
444	1282	1599
445	1286	1597
446	1288	1593
447	1290	1589
448	1292	1586
449	1294	1582
450	1297	1578
451	1298	1574
452	1301	1571
453	1302	1567
454	1305	1563
455	1307	1559
456	1309	1555
457	1311	1551
458	1312	1547
459	1314	1542
460	1316	1539
461	1318	1535
462	1320	1531
463	1322	1527
464	1324	1523
465	1325	1519
466	1328	1515
467	1330	1512
468	1332	1508
469	1334	1504
470	1336	1500
471	1338	1497
472	1340	1493
473	1342	1489
474	1344	1486
475	1346	1482
476	1348	1478
477	1350	1474
478	1352	1470
479	1354	1466
480	1356	1463
481	1358	1459
482	1360	1456
483	1362	1452
484	1364	1448
485	1365	1444
486	1366	1439
487	1368	1435
488	1370	1432
489	1372	1428
490	1375	1425
491	1377	1421
492	1378	1417
493	1380	1414
494	1382	1410
495	1384	1406
496	1385	1402
497	1388	1399
498	1390	1396
499	1392	1392
500	1394	1388
501	1396	1385
502	1398	1381
503	1400	1378
504	1403	1375
505	1405	1372
506	1408	1369
507	1410	1366
508	1414	1364
509	1417	1361
510	1419	1358
511	1420	1354
512	1423	1350
513	1425	1347
514	1428	1344
515	1429	1341
516	1431	1337
517	1433	1333
518	1435	1330
519	1437	1326
520	1439	1323
521	1441	1320
522	1443	1316
523	1445	1312
524	1446	1309
525	1448	1305
526	1449	1301
527	1451	1297
528	1453	1294
529	1455	1290
530	1457	1287
531	1459	1283
532	1460	1279
533	1462	1276
534	1463	1272
535	1465	1268
536	1467	1265
537	1469	1261
538	1471	1258
539	1473	1254
540	1474	1251
541	1476	1247
542	1478	1244
543	1481	1241
544	1483	1238
545	1485	1234
546	1487	1231
547	1489	1228
548	1491	1225
549	1492	1221
550	1494	1218
551	1496	1214
552	1498	1211
553	1500	1208
554	1502	1204
555	1504	1201
556	1506	1198
557	1508	1194
558	1510	1191
559	1512	1188
560	1514	1185
561	1516	1181
562	1518	1178
563	1520	1175
564	1522	1172
565	1524	1168
566	1527	1166
567	1528	1162
568	1530	1159
569	1531	1155
570	1533	1152
571	1535	1149
572	1537	1145
573	1539	1142
574	1542	1140
575	1544	1136
576	1545	1133
577	1547	1129
578	1549	1126
579	1551	1123
580	1553	1120
581	1555	1117
582	1557	1113
583	1558	1110
584	1560	1107
585	1561	1103
586	1563	1100
587	1565	1097
588	1568	1094
589	1570	1091
590	1571	1087
591	1573	1084
592	1575	1081
593	1577	1078
594	1579	1075
595	1581	1071
596	1583	1068
597	1584	1065
598	1586	1062
599	1588	1058
600	1590	1055
601	1592	1052
602	1594	1049
603	1596	1046
604	1598	1043
605	1599	1040
606	1601	1036
607	1602	1033
608	1605	1030
609	1606	1027
610	1608	1024
611	1610	1020
612	1611	1017
613	1613	1014
614	1615	1011
615	1617	1008
616	1619	1005
617	1620	1001
618	1622	998
619	1624	995
620	1626	992
621	1627	989
622	1629	986
623	1631	983
624	1633	980
625	1635	977
626	1637	974
627	1639	970
628	1640	967
629	1642	964
630	1644	961
631	1646	958
632	1648	955
633	1650	952
634	1651	949
635	1653	946
636	1654	942
637	1656	939
638	1658	936
639	1660	933
640	1661	930
641	1663	927
642	1665	924
643	1667	921
644	1668	918
645	1670	915
646	1672	912
647	1674	909
648	1676	906
649	1678	903
650	1680	901
651	1682	897
652	1684	894
653	1685	891
654	1687	888
655	1689	885
656	1691	882
657	1692	879
658	1694	876
659	1695	873
660	1697	870
661	1699	867
662	1701	864
663	1702	861
664	1704	858
665	1706	855
666	1707	852
667	1709	849
668	1710	846
669	1712	843
670	1714	840
671	1716	837
672	1718	834
673	1720	832
674	1722	829
675	1724	826
676	1726	823
677	1728	821
678	1730	818
679	1732	815
680	1734	812
681	1735	809
682	1737	806
683	1738	803
684	1741	800
685	1742	797
686	1744	794
687	1745	791
688	1747	788
689	1748	785
690	1750	782
691	1751	779
692	1753	776
693	1755	773
694	1756	770
695	1758	767
696	1759	765
697	1761	762
698	1762	759
699	1764	756
700	1765	753
701	1768	750
702	1770	748
703	1772	745
704	1774	742
705	1775	739
706	1777	736
707	1778	733
708	1780	730
709	1782	727
710	1783	724
711	1785	722
712	1786	719
713	1788	716
714	1790	713
715	1792	710
716	1798	709
717	1800	707
718	1802	704
719	1804	701
720	1806	699
721	1809	696
722	1811	693
723	1813	691
724	1815	688
725	1816	685
726	1818	682
727	1819	679
728	1822	677
729	1824	674
730	1825	671
731	1827	669
732	1830	666
733	1832	664
734	1835	661
735	1838	659
736	1841	657
737	1844	654
738	1847	652
739	1850	650
740	1853	647
741	1855	645
742	1856	642
743	1858	639
744	1862	637
745	1864	634
746	1866	632
747	1869	629
748	1871	627
749	1874	624
750	1876	622
751	1878	619
752	1881	617
753	1883	614
754	1885	611
755	1887	609
756	1890	606
757	1893	604
758	1896	602
759	1899	599
760	1903	597
761	1905	595
762	1907	592
763	1910	590
764	1912	587
765	1915	585
766	1918	582
767	1920	580
768	1922	577
769	1924	574
770	1927	572
771	1929	569
772	1931	567
773	1933	564
774	1935	561
775	1937	559
776	1939	556
777	1941	553
778	1942	551
779	1944	548
780	1946	545
781	1948	543
782	1950	540
783	1952	537
784	1954	535
785	1955	532
786	1957	529
787	1959	527
788	1961	524
789	1963	522
790	1966	519
791	1968	516
792	1970	514
793	1973	512
794	1977	510
795	1980	507
796	1982	505
797	1986	502
798	1989	500
799	1991	497
800	1993	495
801	2000	493
802	2004	491
803	2007	489
804	2008	486
805	2010	483
806	2014	481
807	2016	479
808	2018	476
809	2020	474
810	2022	471
811	2024	468
812	2027	466
813	2030	463
814	2032	461
815	2035	458
816	2037	456
817	2039	453
818	2041	451
819	2043	448
820	2045	446
821	2050	444
822	2052	441
823	2054	438
824	2056	436
825	2057	433
826	2059	430
827	2062	428
828	2064	425
829	2066	423
830	2068	420
831	2070	418
832	2072	415
833	2074	412
834	2076	410
835	2078	407
836	2080	405
837	2082	402
838	2084	400
839	2086	397
840	2089	394
841	2091	392
842	2093	389
843	2095	387
844	2097	384
845	2099	382
846	2102	379
847	2104	377
848	2105	374
849	2107	371
850	2109	369
851	2111	366
852	2112	364
853	2114	361
854	2116	358
855	2119	356
856	2120	353
857	2122	351
858	2124	348
859	2126	346
860	2128	343
861	2130	341
862	2132	338
863	2133	335
864	2135	333
865	2137	330
866	2141	328
867	2143	325
868	2145	323
869	2147	320
870	2149	318
871	2151	315
872	2153	313
873	2155	310
874	2157	308
875	2159	305
876	2161	303
877	2163	300
878	2165	298
879	2167	295
880	2170	293
881	2172	290
882	2174	288
883	2176	285
884	2178	283
885	2181	280
886	2183	278
887	2185	275
888	2187	273
889	2191	270
890	2195	268
891	2197	266
892	2199	263
893	2203	261
894	2211	259
895	2216	257
896	2224	255
897	2227	252
898	2229	250
899	2231	247
900	2234	245
901	2237	243
902	2240	240
903	2242	238
904	2244	235
905	2245	233
906	2249	230
907	2252	228
908	2254	225
909	2256	223
910	2259	220
911	2262	218
912	2264	215
913	2266	213
914	2269	210
915	2272	208
916	2274	205
917	2277	203
918	2279	200
919	2280	198
920	2283	195
921	2284	193
922	2286	190
923	2291	188
924	2294	186
925	2296	183
926	2299	181
927	2301	178
928	2303	176
929	2306	173
930	2308	171
931	2310	168
932	2312	166
933	2314	163
934	2316	161
935	2318	158
936	2320	155
937	2322	153
938	2325	151
939	2326	148
940	2328	145
941	2330	143
942	2331	140
943	2333	138
944	2334	135
945	2337	133
946	2338	130
947	2340	128
948	2342	125
949	2344	123
950	2346	120
951	2347	118
952	2349	115
953	2351	113
954	2353	110
955	2354	108
956	2356	105
957	2358	103
958	2360	100
959	2362	98
960	2364	95
961	2366	93
962	2368	91
963	2370	88
964	2373	86
965	2376	83
966	2378	81
967	2380	78
968	2382	76
969	2386	73
970	2388	71
971	2390	68
972	2393	66
973	2395	63
974	2397	61
975	2400	59
976	2402	56
977	2404	54
978	2406	51
979	2408	49
980	2410	46
981	2412	44
982	2414	41
983	2416	39
984	2418	36
985	2420	34
986	2422	31
987	2424	29
988	2426	26
989	2428	24
990	2429	22
991	2433	19
992	2435	17
993	2441	14
994	2443	12
995	2446	9
996	2449	7
997	2452	4
998	2456	2
999	2461	0
